Place ID,Facility Name,Identified Sports,Confidence,Method
"ChIJdeos5Rp6ToYRc6oBvgKZUIQ","Quanah Parker Park","Basketball","low","none"
"ChIJh7F77KghU4YR-Y4FZ7QdUgI","Indian Heights Park","Soccer; Baseball; Football","medium","reviews"
"ChIJg54XYgDNSYYR7_4UhYko61o","Tyler Indoor Pickleball","Pickleball; Soccer; Football","high","multiple"
"ChIJV2G--6XTSYYR4D6U_tLQzmU","Chapel Hill HS Baseball Field","Baseball","high","name"
"ChIJxzEtgBOHT4YRjvMSSgnS1RU","The Hewitt Park","Basketball; Soccer; Football; Track & Field; Golf; Gym/Fitness; Volleyball; Lacrosse","medium","reviews"
"ChIJZ1usA9uWQIYRhPHyV5td2to","Walter Jones Park","Basketball; Tennis; Track & Field","medium","reviews"
